ingredient,df_category,df_cat_sum,ingredient_sum,df_cat_percentage,df_cat_count
Gentamicin Sulfate (USP),injection,0.03,3.7,0.810810810810811,3
glimepiride,oral,5.06,5.06,100,1
Glipizide,oral,5.64,5.64,100,1
Glucagon,injection,1.41,1.41,100,1
Glucose,oral,0.56,0.56,100,3
Glucose,Oral Gel,0,0.56,0,3
Glucose,injection,0,0.56,0,3
Glyburide,oral,2.88,2.88,100,1
Glycerin,injection,0,0,NaN,1
Glycopyrrolate,oral,0.52,0.52,100,2
Glycopyrrolate,injection,0,0.52,0,2
golimumab,injection,0,0,NaN,1
Goserelin,Drug Implant,0,0,NaN,1
Gramicidin,ophtalmic,0.11,0.11,100,1
Granisetron,injection,0.36,0.45,80,3
Granisetron,oral,0.05,0.45,11.1111111111111,3
Granisetron,transdermal,0.04,0.45,8.88888888888889,3
Griseofulvin,oral,0.68,0.68,100,1
Guaifenesin,oral,16.78,16.78,100,1
Guanfacine,oral,2.69,2.69,100,1
Halcinonide,topical,0.2,0.2,100,1
halobetasol,topical,0.89,0.89,100,1
Haloperidol,oral,0.23,0.25,92,2
Haloperidol,injection,0.02,0.25,8,2
heme iron polypeptide,oral,0.02,0.02,100,1
"heparin, porcine",injection,0.12,0.12,100,1
Hepatitis A Vaccine (Inactivated) Strain HM175,injection,0.08,0.08,100,1
"Hepatitis A Vaccine, Inactivated",injection,0.01,0.01,100,1
Hepatitis B Surface Antigen Vaccine,injection,0.08,0.08,100,1
Hexachlorophene,Medicated Liquid Soap,0,0,NaN,1
histrelin,Drug Implant,0.01,0.01,100,1
homatropine,oral,6.81,6.85,99.4160583941606,2
homatropine,ophtalmic,0.04,6.85,0.583941605839416,2
hyaluronate,injection,0.57,0.65,87.6923076923077,2
hyaluronate,topical,0.08,0.65,12.3076923076923,2
Hydralazine,oral,1.45,2.12,68.3962264150943,2
Hydralazine,injection,0.67,2.12,31.6037735849057,2
Hydrochlorothiazide,oral,66.83,66.83,100,1
Hydrocodone,oral,128.36,134.81,95.2154884652474,2
Hydrocodone,Extended Release Suspension,6.45,134.81,4.78451153475261,2
Hydrocortisone,topical,10.75,25.68,41.8613707165109,7
Hydrocortisone,otic,6.74,25.68,26.2461059190031,7
Hydrocortisone,rectal,6.65,25.68,25.8956386292835,7
Hydrocortisone,oral,0.61,25.68,2.37538940809969,7
Hydrocortisone,injection,0.6,25.68,2.33644859813084,7
Hydrocortisone,ophtalmic,0.24,25.68,0.934579439252337,7
Hydrocortisone,Enema,0.09,25.68,0.350467289719626,7
Hydromorphone,injection,15.95,18.65,85.5227882037534,3
Hydromorphone,oral,2.7,18.65,14.4772117962466,3
Hydromorphone,rectal,0,18.65,0,3
hydroquinone,topical,0.14,0.14,100,1
Hydroxocobalamin,injection,0.01,0.01,100,1
Hydroxychloroquine,oral,3.14,3.14,100,1
Hydroxyprogesterone,injection,0.06,0.06,100,1
hydroxypropylcellulose,Drug Implant,0.01,0.01,100,1
hydroxyurea,oral,0.16,0.16,100,1
Hydroxyzine,oral,12.3,12.35,99.5951417004049,2
Hydroxyzine,injection,0.05,12.35,0.404858299595142,2
Hyoscyamine,oral,3.07,4.87,63.0390143737166,2
Hyoscyamine,Sublingual Tablet,1.8,4.87,36.9609856262834,2
Ibandronate,oral,0.82,0.82,100,2
Ibandronate,injection,0,0.82,0,2
Ibrutinib,oral,0.02,0.02,100,1
Ibuprofen,oral,53.57,53.68,99.7950819672131,3
Ibuprofen,injection,0.11,53.68,0.204918032786885,3
Ibuprofen,topical,0,53.68,0,3
icosapent ethyl,oral,0.32,0.32,100,1
idelalisib,oral,0,0,NaN,1
iloperidone,oral,0.03,0.03,100,1
imatinib,oral,0.08,0.08,100,1
Imipramine,oral,0.52,0.52,100,1
imiquimod,topical,1.74,1.74,100,1
Immunoglobulin G,injection,0.3,0.3,100,1
incobotulinumtoxin A,injection,0,0,NaN,1
indacaterol,inhalant,0.01,0.01,100,1
Indapamide,oral,0.4,0.4,100,1
Indinavir,oral,0,0,NaN,1
Indomethacin,oral,4.29,4.29,100,2
Indomethacin,rectal,0,4.29,0,2
Inert Ingredients,oral,43.02,43.02,100,1
infliximab,injection,0.97,0.97,100,1
"Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus",injection,4.59,5.18,88.6100386100386,2
"Influenza A virus vaccine, A-California-7-2009 (H1N1)-like virus",nasal,0.59,5.18,11.3899613899614,2
"Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus",injection,4.59,5.18,88.6100386100386,2
"Influenza A virus vaccine, A-Victoria-361-2011 (H3N2)-like virus",nasal,0.59,5.18,11.3899613899614,2
"Influenza B virus vaccine, B-Brisbane-60-2008-like virus",injection,1.17,1.17,100,1
"Influenza B virus vaccine, B-Massachusetts-2-2012-like virus",injection,4.59,5.18,88.6100386100386,2
"Influenza B virus vaccine, B-Massachusetts-2-2012-like virus",nasal,0.59,5.18,11.3899613899614,2
"Influenza Virus Vaccine, Live Attenuated, B-Brisbane-60-2008 strain",nasal,0.59,0.59,100,1
ingenol mebutate,topical,0.28,0.28,100,1
insulin detemir,injection,1.54,1.54,100,1
Insulin Glargine,injection,2.22,2.22,100,1
Insulin Lispro,injection,1.75,1.75,100,1
"Insulin, Aspart Protamine, Human",injection,0.1,0.1,100,1
"Insulin, Aspart, Human",injection,1.8,1.8,100,1
"Insulin, Glulisine, Human",injection,0.18,0.18,100,1
"Insulin, Protamine Lispro, Human",injection,0.09,0.09,100,1
Interferon Alfa-2b,injection,0.01,0.01,100,1
Interferon beta-1a,injection,0.01,0.01,100,1
interferon beta-1b,injection,0.06,0.06,100,1
Iodine,oral,0,0,NaN,1
Iodoquinol,topical,0.23,0.23,100,1
Ipratropium,inhalant,1.58,1.58,100,1
irbesartan,oral,2.09,2.09,100,1
irinotecan,injection,0.16,0.16,100,1
Iron-Dextran Complex,oral,0.04,0.04,100,2
Iron-Dextran Complex,injection,0,0.04,0,2
Iron Carbonyl,oral,0.38,0.38,100,1
Isoetharine,inhalant,0,0,NaN,1
isometheptene,oral,0.49,0.49,100,1
isoniazid,oral,0.21,0.21,100,1
Isopropyl Alcohol,topical,0.65,0.65,100,1
isopropyl unoprostone,ophtalmic,0,0,NaN,1
Isosorbide,oral,1.38,1.38,100,1
Isosorbide Dinitrate,oral,0.15,0.15,100,1
Isotretinoin,oral,2.57,2.57,100,1
Isoxsuprine,oral,0,0,NaN,1
Isradipine,oral,0.02,0.02,100,1
Itraconazole,oral,0.25,0.25,100,1
ivacaftor,oral,0,0,NaN,1
Ivermectin,oral,0.32,0.53,60.377358490566,2
Ivermectin,topical,0.21,0.53,39.622641509434,2
Ketoconazole,topical,5.16,10.32,50,3
Ketoconazole,Medicated Shampoo,4.15,10.32,40.2131782945737,3
Ketoconazole,oral,1.01,10.32,9.78682170542636,3
Ketoprofen,oral,0.41,0.41,100,1
Ketorolac,injection,35.41,39.97,88.591443582687,3
Ketorolac,oral,3.45,39.97,8.6314736052039,3
Ketorolac,ophtalmic,1.11,39.97,2.77708281210908,3
Ketotifen,ophtalmic,0.03,0.03,100,1
"L1 protein, Human papillomavirus type 11 Vaccine",injection,0.06,0.06,100,1
"L1 protein, Human papillomavirus type 16 Vaccine",injection,0.06,0.06,100,1
"L1 protein, Human papillomavirus type 18 Vaccine",injection,0.06,0.06,100,1
"L1 protein, Human papillomavirus type 6 Vaccine",injection,0.06,0.06,100,1
Labetalol,oral,1.75,1.75,100,1
lacosamide,oral,0.32,0.32,100,2
lacosamide,injection,0,0.32,0,2
Lactate,topical,1.03,1.03,100,1
Lactobacillus rhamnosus GG,Oral Granules,0,0,NaN,1
Lactulose,oral,1.17,1.17,100,1
Lamivudine,oral,0.27,0.27,100,1
lamotrigine,oral,7.89,7.89,100,1
Lanolin,topical,0,0,NaN,1
lansoprazole,oral,6.03,6.03,100,1
lanthanum carbonate,oral,0.03,0.03,100,1
lapatinib,oral,0.01,0.01,100,1
latanoprost,ophtalmic,2.33,2.33,100,1
ledipasvir,oral,0.08,0.08,100,1
leflunomide,oral,0.47,0.47,100,1
lenalidomide,oral,0.09,0.09,100,1
"Lente Insulin, Beef-Pork",injection,0,0,NaN,1
letrozole,oral,0.93,0.93,100,1
Leucovorin,injection,0.24,0.41,58.5365853658537,2
Leucovorin,oral,0.17,0.41,41.4634146341463,2
Leuprolide,injection,0.56,0.56,100,1
Levalbuterol,inhalant,1.4,1.4,100,1
Levetiracetam,oral,2.67,2.67,100,1
Levobunolol,ophtalmic,0.03,0.03,100,1
Levocarnitine,oral,0.11,0.11,100,1
levocetirizine,oral,4.72,4.72,100,1
Levodopa,oral,0.57,0.57,100,1
Levofloxacin,oral,24.06,24.08,99.9169435215947,3
Levofloxacin,ophtalmic,0.02,24.08,0.0830564784053156,3
Levofloxacin,injection,0,24.08,0,3
Levomefolic Acid,oral,1.96,1.96,100,1
levomilnacipran,oral,0.4,0.4,100,1
Levonorgestrel,oral,12.73,13.31,95.6423741547708,3
Levonorgestrel,Drug Implant,0.46,13.31,3.45604808414726,3
Levonorgestrel,transdermal,0.12,13.31,0.901577761081893,3
Levorphanol,oral,0,0,NaN,1
levothyroxine,oral,62.74,62.74,100,1
Lidocaine,injection,11.06,22.28,49.6409335727109,6
Lidocaine,topical,4.19,22.28,18.8061041292639,6
Lidocaine,Mucous Membrane Topical Solution,3.76,22.28,16.8761220825853,6
Lidocaine,transdermal,2.81,22.28,12.6122082585278,6
Lidocaine,oral,0.3,22.28,1.34649910233393,6
Lidocaine,rectal,0.16,22.28,0.718132854578097,6
linaclotide,oral,1.41,1.41,100,1
Linagliptin,oral,0.75,0.75,100,1
Lincomycin,injection,1.67,1.67,100,1
Lindane,topical,0.04,0.07,57.1428571428571,2
Lindane,Medicated Shampoo,0.03,0.07,42.8571428571428,2
linezolid,oral,0.16,0.16,100,1
Lipase,oral,0.51,0.51,100,1
Lisdexamfetamine,oral,9.92,9.92,100,1
Lisinopril,oral,57.62,57.62,100,1
Lithium Carbonate,oral,1.69,1.69,100,1
lithium citrate,oral,0.01,0.01,100,1
liver stomach concentrate,oral,0.11,0.11,100,1
Lodoxamide,ophtalmic,0.01,0.01,100,1
lomitapide,oral,0,0,NaN,1
Lomustine,oral,0.01,0.01,100,1
Loperamide,oral,0.37,0.37,100,1
lopinavir,oral,0.06,0.06,100,1
Loratadine,oral,1.03,1.03,100,1
Lorazepam,oral,16.46,16.46,100,2
Lorazepam,injection,0,16.46,0,2
lorcaserin,oral,0.39,0.39,100,1
Losartan,oral,24.48,24.48,100,1
loteprednol etabonate,ophtalmic,3.28,3.28,100,1
Lovastatin,oral,3.74,3.74,100,1
Loxapine,oral,0.02,0.02,100,1
lubiprostone,oral,0.78,0.78,100,1
luliconazole,topical,0.14,0.14,100,1
lumefantrine,oral,0.01,0.01,100,1
lurasidone,oral,0.79,0.79,100,1
Luteinizing Hormone,injection,0.28,0.28,100,1
Macitentan,oral,0.01,0.01,100,1
magnesium citrate,oral,0.07,0.07,100,1
Magnesium Hydroxide,oral,0.32,0.32,100,1
Magnesium Oxide,oral,1.76,1.76,100,1
Magnesium Salicylate,oral,0,0,NaN,1
Magnesium Sulfate,oral,6.75,6.75,100,2
Magnesium Sulfate,injection,0,6.75,0,2
Malathion,topical,0.23,0.23,100,1
manganese sulfate,oral,0.07,0.07,100,1
Maprotiline,oral,0,0,NaN,1
maraviroc,oral,0.02,0.02,100,1
"Measles Virus Vaccine Live, Enders' attenuated Edmonston strain",injection,0.05,0.05,100,1
Mebendazole,oral,0,0,NaN,1
mecasermin,injection,0,0,NaN,1
Mechlorethamine,topical,0,0,NaN,1
Meclizine,oral,4.56,4.56,100,1
Meclofenamate,oral,0.02,0.02,100,1
Medroxyprogesterone,oral,5.17,6.34,81.5457413249211,2
Medroxyprogesterone,injection,1.17,6.34,18.4542586750789,2
Mefenamate,oral,0.14,0.14,100,1
Mefloquine,oral,0.59,0.59,100,1
Megestrol,oral,0.39,0.39,100,1
meloxicam,oral,25.66,25.66,100,1
Melphalan,oral,0,0,NaN,1
Memantine,oral,0.26,0.26,100,1
meningococcal group A polysaccharide,injection,0.01,0.01,100,1
meningococcal group C polysaccharide,injection,0.01,0.01,100,1
MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135,injection,0.01,0.01,100,1
MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y,injection,0.01,0.01,100,1
Menthol,transdermal,0.11,0.11,100,2
Menthol,topical,0,0.11,0,2
Mepenzolate,oral,0,0,NaN,1
Meperidine,injection,4.37,5.11,85.5185909980431,2
Meperidine,oral,0.74,5.11,14.4814090019569,2
Meprobamate,oral,0.01,0.01,100,1
mercaptopurine,oral,0.38,0.38,100,1
meropenem,injection,0,0,NaN,1
mesalamine,oral,2.23,2.86,77.972027972028,3
mesalamine,rectal,0.4,2.86,13.986013986014,3
mesalamine,Enema,0.23,2.86,8.04195804195804,3
Mesna,injection,0.03,0.03,100,2
Mesna,oral,0,0.03,0,2
Mestranol,oral,0.1,0.1,100,1
Metaraminol,injection,0,0,NaN,1
metaxalone,oral,3.51,3.51,100,1
Metformin,oral,40.71,40.71,100,1
Methadone,oral,0.61,0.62,98.3870967741936,2
Methadone,injection,0.01,0.62,1.61290322580645,2
Methamphetamine,oral,0.01,0.01,100,1
Methazolamide,oral,0.03,0.03,100,1
Methenamine,oral,0.74,0.74,100,1
Methimazole,oral,1.03,1.03,100,1
Methocarbamol,oral,7.36,7.36,100,1
Methotrexate,oral,2.66,3.27,81.3455657492355,2
Methotrexate,injection,0.61,3.27,18.6544342507645,2
Methoxsalen,oral,0.01,0.01,100,1
Methscopolamine,oral,0.1,0.1,100,1
methsuximide,oral,0,0,NaN,1
Methyclothiazide,oral,0,0,NaN,1
methyl salicylate,topical,0,0,NaN,1
Methyldopa,oral,0.37,0.37,100,1
Methylene blue,oral,0.66,0.66,100,1
Methylergonovine,oral,0.32,0.46,69.5652173913043,2
Methylergonovine,injection,0.14,0.46,30.4347826086957,2
methylnaltrexone,injection,0.03,0.03,100,1
Methylphenidate,oral,12.82,13.61,94.1954445260838,3
Methylphenidate,transdermal,0.5,13.61,3.67376928728876,3
Methylphenidate,Extended Release Suspension,0.29,13.61,2.13078618662748,3
Methylprednisolone,injection,43.3,82.28,52.6251823043267,2
Methylprednisolone,oral,38.98,82.28,47.3748176956733,2
Methyltestosterone,oral,0.87,0.87,100,1
Metipranolol,ophtalmic,0,0,NaN,1
Metoclopramide,injection,5.45,8.57,63.5939323220537,2
Metoclopramide,oral,3.12,8.57,36.4060676779463,2
Metolazone,oral,0.35,0.35,100,1
Metoprolol,oral,28.6,28.6,100,1
Metronidazole,oral,17.57,25.73,68.2860474154683,4
Metronidazole,vaginal,4.36,25.73,16.9452001554606,4
Metronidazole,topical,3.68,25.73,14.3023707734162,4
Metronidazole,injection,0.12,25.73,0.466381655654878,4
Mexiletine,oral,0.04,0.04,100,1
Miconazole,topical,0.09,0.1,90,3
Miconazole,vaginal,0.01,0.1,10,3
Miconazole,oral,0,0.1,0,3
Midazolam,injection,33.29,33.31,99.9399579705794,2
Midazolam,oral,0.02,33.31,0.0600420294205944,2
Midodrine,oral,0.27,0.27,100,1
Mifepristone,oral,0.18,0.18,100,1
miglitol,oral,0.01,0.01,100,1
milnacipran,oral,0.53,0.53,100,1
Milrinone,injection,0.01,0.01,100,1
Minocycline,oral,8.14,8.32,97.8365384615385,2
Minocycline,Oral Powder,0.18,8.32,2.16346153846154,2
Minoxidil,oral,0.17,0.17,100,1
mirabegron,oral,0.44,0.44,100,1
Mirtazapine,oral,2.64,2.64,100,1
Misoprostol,oral,2.17,2.17,100,1
Mitomycin,ophtalmic,0.01,0.01,100,1
Mitotane,oral,0,0,NaN,1
modafinil,oral,0.95,0.95,100,1
moexipril,oral,0.14,0.14,100,1
Mometasone,topical,3.93,3.93,100,1
montelukast,oral,25.63,25.96,98.728813559322,2
montelukast,Oral Granules,0.33,25.96,1.27118644067797,2
Morphine,injection,13.47,15.92,84.6105527638191,2
Morphine,oral,2.45,15.92,15.3894472361809,2
moxifloxacin,ophtalmic,5.38,7.05,76.3120567375886,2
moxifloxacin,oral,1.67,7.05,23.6879432624113,2
"Mumps Virus Vaccine Live, Jeryl Lynn Strain",injection,0.05,0.05,100,1
Mupirocin,topical,18.08,18.37,98.421339139902,2
Mupirocin,Nasal Ointment,0.29,18.37,1.57866086009799,2
mycophenolate mofetil,oral,0.86,0.86,100,1
Mycophenolic Acid,oral,0.19,0.19,100,1
nabumetone,oral,3.01,3.01,100,1
Nadolol,oral,0.83,0.83,100,1
Nafarelin,nasal,0,0,NaN,1
naftifine,topical,0.61,0.61,100,1
Nalbuphine,injection,0.4,0.4,100,1
Naloxone,Oral Strip,1.29,2.23,57.847533632287,5
Naloxone,Sublingual Tablet,0.54,2.23,24.2152466367713,5
Naloxone,injection,0.27,2.23,12.1076233183857,5
Naloxone,oral,0.13,2.23,5.82959641255605,5
Naloxone,Buccal Film,0,2.23,0,5
Naltrexone,oral,0.48,0.53,90.5660377358491,2
Naltrexone,injection,0.05,0.53,9.43396226415094,2
Naphazoline,ophtalmic,0.02,0.02,100,1
Naproxen,oral,28.17,28.18,99.9645138396026,2
Naproxen,topical,0.01,28.18,0.035486160397445,2
naratriptan,oral,0.44,0.44,100,1
natalizumab,injection,0.02,0.02,100,1
Natamycin,ophtalmic,0,0,NaN,1
nateglinide,oral,0.16,0.16,100,1
nebivolol,oral,4.16,4.16,100,1
Nedocromil,ophtalmic,0.02,0.02,100,1
nefazodone,oral,0.11,0.11,100,1
Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine,injection,0.07,0.07,100,1
Neisseria meningitidis serogroup A oligosaccharide diphtheria CRM197 protein conjugate vaccine,injection,0.06,0.06,100,1
Neisseria meningitidis serogroup C capsular polysaccharide diphtheria toxoid protein conjugate vaccine,injection,0.07,0.07,100,1
Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine,injection,0.06,0.06,100,1
Neisseria meningitidis serogroup W-135 capsular polysaccharide diphtheria toxoid protein conjugate vaccine,injection,0.07,0.07,100,1
Neisseria meningitidis serogroup W-135 oligosaccharide diphtheria CRM197 protein conjugate vaccine,injection,0.06,0.06,100,1
Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine,injection,0.07,0.07,100,1
Neisseria meningitidis serogroup Y oligosaccharide diphtheria CRM197 protein conjugate vaccine,injection,0.06,0.06,100,1
Nelfinavir,oral,0.01,0.01,100,1
Neomycin,otic,6.02,9.7,62.0618556701031,4
Neomycin,ophtalmic,3.41,9.7,35.1546391752577,4
Neomycin,oral,0.23,9.7,2.37113402061856,4
Neomycin,topical,0.04,9.7,0.412371134020619,4
Neostigmine,injection,6.27,6.27,100,1
nepafenac,ophtalmic,0.64,0.64,100,1
Nevirapine,oral,0.08,0.08,100,1
Niacin,oral,5.78,5.78,100,1
Niacinamide,oral,0.28,0.28,100,2
Niacinamide,injection,0,0.28,0,2
Nicardipine,oral,0.01,0.01,100,1
Nicotine,transdermal,0.84,0.96,87.5,3
Nicotine,Chewing Gum,0.09,0.96,9.375,3
Nicotine,Oral Lozenge,0.03,0.96,3.125,3
Nifedipine,oral,2.8,2.8,100,1
nilotinib,oral,0.02,0.02,100,1
nilutamide,oral,0,0,NaN,1
Nimodipine,oral,0.01,0.01,100,1
Nisoldipine,oral,0.1,0.1,100,1
nitazoxanide,oral,0.11,0.11,100,1
Nitrofurantoin,oral,15.35,15.35,100,1
Nitroglycerin,Sublingual Tablet,2.64,3.16,83.5443037974684,6
Nitroglycerin,Mucosal Spray,0.15,3.16,4.74683544303797,6
Nitroglycerin,transdermal,0.13,3.16,4.11392405063291,6
Nitroglycerin,Rectal Ointment,0.12,3.16,3.79746835443038,6
Nitroglycerin,topical,0.11,3.16,3.48101265822785,6
Nitroglycerin,oral,0.01,3.16,0.316455696202532,6
Nizatidine,oral,0.2,0.2,100,1
Nonoxynol-9,vaginal,0,0,NaN,1
norelgestromin,transdermal,1.25,1.25,100,1
Norethindrone,oral,32.57,33.01,98.6670705846713,2
Norethindrone,transdermal,0.44,33.01,1.33292941532869,2
Norfloxacin,oral,0.01,0.01,100,1
norgestimate,oral,42.11,42.11,100,1
Norgestrel,oral,2.31,2.31,100,1
Nortriptyline,oral,2.73,2.73,100,1
"NPH Insulin, Human",injection,0.81,0.81,100,1
Nystatin,topical,10.34,14.06,73.5419630156472,2
Nystatin,oral,3.72,14.06,26.4580369843528,2
Octreotide,injection,0.08,0.08,100,1
Ofloxacin,otic,3.17,6.28,50.4777070063694,3
Ofloxacin,ophtalmic,3.09,6.28,49.203821656051,3
Ofloxacin,oral,0.02,6.28,0.318471337579618,3
olanzapine,oral,1.38,1.38,100,1
olmesartan,oral,6.5,6.5,100,1
olopatadine,ophtalmic,5.05,5.05,100,1
olsalazine,oral,0.01,0.01,100,1
omalizumab,injection,0.17,0.17,100,1
Omega-3 Acid Ethyl Esters (USP),oral,3.78,3.78,100,1
Omeprazole,oral,39.54,39.54,100,1
onabotulinumtoxinA,injection,0.25,0.25,100,1
Ondansetron,oral,38.4,38.43,99.9219359875098,3
Ondansetron,Oral Strip,0.02,38.43,0.0520426749934947,3
Ondansetron,injection,0.01,38.43,0.0260213374967473,3
Opium,rectal,0.03,0.05,60,2
Opium,oral,0.02,0.05,40,2
Oprelvekin,injection,0,0,NaN,1
orlistat,oral,0.04,0.04,100,1
Orphenadrine,oral,1,1.01,99.009900990099,2
Orphenadrine,injection,0.01,1.01,0.99009900990099,2
Oseltamivir,oral,20.07,20.07,100,1
Ospemifene,oral,0.32,0.32,100,1
oxaliplatin,injection,0,0,NaN,1
Oxandrolone,oral,0.02,0.02,100,1
oxaprozin,oral,0.44,0.44,100,1
Oxazepam,oral,0.13,0.13,100,1
oxcarbazepine,oral,1.56,1.56,100,1
oxiconazole,topical,0.35,0.35,100,1
oxybutynin,oral,2.92,2.96,98.6486486486486,3
oxybutynin,topical,0.03,2.96,1.01351351351351,3
oxybutynin,transdermal,0.01,2.96,0.337837837837838,3
Oxycodone,oral,51.9,51.9,100,1
Oxymetazoline,nasal,0,0,NaN,1
Oxymetholone,oral,0,0,NaN,1
Oxymorphone,oral,0.63,0.63,100,2
Oxymorphone,injection,0,0.63,0,2
Oxyquinoline,vaginal,0.03,0.03,100,1
Oxytocin,injection,0,0,NaN,1
Paclitaxel,injection,0,0,NaN,1
paliperidone,oral,0.11,0.11,100,1
palivizumab,injection,0.09,0.09,100,1
palonosetron,injection,0,0,NaN,1
pantoprazole,oral,16.15,17.86,90.4255319148936,3
pantoprazole,injection,1.7,17.86,9.51847704367301,3
pantoprazole,Oral Granules,0.01,17.86,0.0559910414333707,3
pantothenate,oral,0.23,0.23,100,1
Pantothenic Acid,oral,0.05,0.05,100,1
Papaverine,injection,0.03,0.03,100,1
paregoric,oral,0.01,0.01,100,1
paricalcitol,oral,0.07,0.07,100,1
Paromomycin,oral,0.01,0.01,100,1
Paroxetine,oral,7.86,7.86,100,1
pazopanib,oral,0.02,0.02,100,1
pegaspargase,injection,0.01,0.01,100,1
peginterferon alfa-2a,injection,0,0,NaN,1
peginterferon alfa-2b,injection,0,0,NaN,1
pegvisomant,injection,0,0,NaN,1
Penbutolol,oral,0,0,NaN,1
penciclovir,topical,0.44,0.44,100,1
Penicillamine,oral,0,0,NaN,1
Penicillin V,oral,13.31,13.31,100,1
Pentamidine,injection,0,0,NaN,2
Pentamidine,inhalant,0,0,NaN,2
Pentazocine,oral,0.13,0.13,100,2
Pentazocine,injection,0,0.13,0,2
Pentobarbital,injection,0.04,0.04,100,1
Pentosan Polysulfate,oral,0.35,0.35,100,1
Pentoxifylline,oral,0.18,0.18,100,1
perampanel,oral,0.01,0.01,100,1
Perindopril,oral,0.05,0.05,100,1
Permethrin,topical,2.68,2.68,100,1
Perphenazine,oral,0.13,0.13,100,1
Peruvian balsam,topical,0.03,0.03,100,1
Petrolatum,topical,0.09,0.09,100,1
Phenazopyridine,oral,9.39,9.39,100,1
phendimetrazine,oral,0.09,0.09,100,1
Phenelzine,oral,0.02,0.02,100,1
Phenobarbital,oral,0.61,0.62,98.3870967741936,2
Phenobarbital,injection,0.01,0.62,1.61290322580645,2
Phenoxybenzamine,oral,0,0,NaN,1
Phentermine,oral,2.56,2.56,100,1
Phentolamine,injection,0.02,0.02,100,1
phenyl salicylate,oral,0.66,0.66,100,1
Phenylephrine,oral,1.67,1.68,99.4047619047619,2
Phenylephrine,ophtalmic,0.01,1.68,0.595238095238095,2
Phenylpropanolamine,oral,0,0,NaN,1
phenyltoloxamine,oral,0,0,NaN,1
Phenytoin,oral,0.73,0.73,100,1
Phytosterols,oral,0.01,0.01,100,1
picosulfate sodium,oral,1.49,1.49,100,1
Pilocarpine,oral,0.19,0.26,73.0769230769231,2
Pilocarpine,ophtalmic,0.07,0.26,26.9230769230769,2
Pimecrolimus,topical,1,1,100,1
Pimozide,oral,0.02,0.02,100,1
Pindolol,oral,0.07,0.07,100,1
pioglitazone,oral,2.85,2.85,100,1
Piperacillin,injection,0,0,NaN,1
Piroxicam,oral,0.71,0.71,100,1
pitavastatin,oral,0.64,0.64,100,1
plant stanol ester,oral,0,0,NaN,1
Plerixafor,injection,0,0,NaN,1
pneumococcal capsular polysaccharide type 1 vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 10A vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 11A vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 12F vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 14 vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 15B vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 17F vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 18C vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 19A vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 19F vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 2 vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 20 vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 22F vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 23F vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 3 vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 33F vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 4 vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 5 vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 6B vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 7F vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 8 vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 9N vaccine,injection,0.47,0.47,100,1
pneumococcal capsular polysaccharide type 9V vaccine,injection,0.47,0.47,100,1
podofilox,topical,0.3,0.3,100,1
podophyllin,topical,0,0,NaN,1
"poliovirus vaccine inactivated, type 1 (Mahoney)",injection,0.01,0.01,100,1
"poliovirus vaccine inactivated, type 2 (MEF-1)",injection,0.01,0.01,100,1
"poliovirus vaccine inactivated, type 3 (Saukett)",injection,0.01,0.01,100,1
Poloxamer,topical,0,0,NaN,1
POLYETHYLENE GLYCOL 3350,oral,14.7,14.7,100,1
Polymyxin B,ophtalmic,9.53,15.41,61.8429591174562,4
Polymyxin B,otic,5.85,15.41,37.9623621025308,4
Polymyxin B,topical,0.03,15.41,0.194678780012979,4
Polymyxin B,injection,0,15.41,0,4
